"ANO_ELEICAO";"SG_UF";"NM_URNA_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_CARGO";"ST_REELEICAO";"NR_IDADE_DATA_POSSE"
2018;"MS";"CORONEL ISAIAS BITTENCOURT";"PRB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";52
2018;"SP";"PEDAGOGO RONAN GOULART";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";47
2018;"RJ";"MARTA DEMORO";"PATRI";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";68
2018;"SC";"MAICON SANTOS";"PRP";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";28
2018;"SE";"SANDRA SOARES";"PODE";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";41
2018;"RJ";"ANDERSON PEREIRA";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";27
2018;"PE";"MIRIAM PEREIRA";"PRTB";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";54
2018;"MG";"VALERIANO NEVES";"DEM";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";53
2018;"AC";"CHICO SOMBRA";"PSB";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";68
2018;"AP";"JESUS PONTES";"PTC";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";41
2018;"TO";"PASTOR EDUARDO MARTINS";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";58
2018;"CE";"PINHEIRO DO QUEIJO";"PTC";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"DEPUTADO FEDERAL";"N";67
2018;"MS";"SELMA SULEIMAN";"MDB";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";54
2018;"SP";"JACIRA GÓES";"PV";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";60
2018;"BA";"JANE SACRAMENTO";"PHS";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";39
2018;"RJ";"ILBERTO DIAS";"PSD";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"DEPUTADO ESTADUAL";"N";69
2018;"AM";"KEDSON ARAUJO";"PP";"MASCULINO";"SUPERIOR INCOMPLETO";"DEPUTADO ESTADUAL";"N";35
2018;"PB";"PROFESSORA ELIZABETH";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";70
2018;"MS";"ZENAIDE ";"MDB";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";48
2018;"ES";"JOADIR DTTMANN";"PRP";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";61
2018;"SP";"EDNA COSTA";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";49
2018;"AM";"ANDERSON MAIA";"PPS";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";38
2018;"PR";"PRISCILA EBARA";"PCO";"FEMININO";"SUPERIOR COMPLETO";"GOVERNADOR";"N";42
